['transaction generate', 'last transaction', 'last transaction generate', 'transaction generate qr', 'see your balance', 'be a problem', 'last transaction generate qr', 'see my last transaction']	[0, 1, 0, 0, 1, 0, 0, 1]
['number day', 'get number', 'email notification', 'app and screw', 'get number day', 'span of number', 'open the app', 'app and screw appname']	[0, 0, 0, 0, 0, 0, 0, 0]
['everytime i', 'kill appname', 'new update', 'update and everytime', 'everytime i try', 'flucking kill appname', 'update and everytime i']	[0]
['create account', 'online registration', 'fix your bug']	[1, 0, 0]
['load problem', 'much carelessness', 'spend your money']	[0]
['online account', 'get lock', 'wrong password', 'wrong password i', 'use my fingerprint', 'i inputte number', 'lock with message', 'get lock with message']	[0, 0, 0, 0, 1, 0, 0, 0]
['message result', 'android delete', 'close message result', 'cache force stop', 'clear cache force stop']	[0, 0, 0, 0, 0]
['change my password', 'work after i']	[0]
['damn app', 'harvest everyone', 'different browser', 'damn app work', 'get appname mail', 'make the damn']	[0, 0, 0, 0, 0, 0]
['third attempt']	[0]
['cool type', 'type of app']	[0]
['number star', 'give number', 'other day', 'app but i', 'give number star', 'story unless i', 'see any improvement']	[0, 0, 0, 0, 0, 0, 0]
['reset password', 'recognize i', 'mobile device', 'code and nothing', 'send number time', 'reset password message', 'restart my phone', 'be send number', 'time with number', 'get a reset']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['number time', 'have trouble', 'more time', 'main screen i', 'take me number']	[0, 0, 0, 0, 0]
['appname app', 'stop update', 'fake appname', 'fake appname app', 'foe your user', 'please stop update', 'app in addition', 'update the app']	[0]
['i try', 'check their account', 'app for appname', 'find another app']	[0, 1, 0, 0]
[]	[]
['number hour', 'be number', 'appname mail', 'be number hour', 'install this app']	[0]
['email account']	[1]
[]	[]
['send snap', 'such option', 'send snap i', 'snap before someone', 'be an option']	[1, 0, 1, 0, 0]
['update i', 'primary email', 'app and wait', 'receive email i', 'be receive email', 'notification that i', 'open the app', 'be my primary email']	[0, 0, 0, 1, 0, 0, 0, 0]
